,w475959205,w475960231,w477684043,w526337678,w533804140,w541438316,w541914139,w574606561,w592870302,w633724575,w246792829,w469681591,w471892367,w482824940,w506294760,w533818162,w534573301,w592487869,w592781545,w1083279101,w538115135,w539744154,w1086210743,w1086210744,w541965088,w541965085,w534572399,w534572395,w534565230,w535349143
6083,921.6522,1030.3908,903.9738,880.5888,809.5176,845.3525999999999,942.3204,876.6786,867.5802000000001,928.713,883.5828,914.8284,833.6579999999999,934.1424,893.8788,1005.9288,896.511,871.0523999999999,805.7682,880.191,904.9704,861.315,903.4956,915.186,941.1228,895.5545999999999,990.6858,988.9698,894.6744,806.7246
6084,899.0392999999999,931.5996,874.4037000000001,841.2013999999999,775.743,811.1418999999999,859.6528000000001,848.6529,840.0693000000001,853.1813,867.8983999999999,892.6016,749.1811999999999,907.6398,887.1608,906.9302,856.2227,852.894,808.8100999999999,867.8815,853.0630000000001,832.5671,888.2760000000001,859.5175999999999,848.9739999999999,883.9673,910.0561,906.8457,833.8006,781.0654999999999
6085,829.1617,787.9961000000001,799.2948,758.6257,702.0298,735.0910999999999,735.1928,776.4036,768.7732000000001,735.8136,806.2592,823.4389,629.0219,833.6203,832.9430000000001,764.4728000000001,771.9789000000001,789.7342,768.0732999999999,809.431,758.0162,760.5107,825.9673,760.5672000000001,716.1394,825.3239000000001,784.7791000000001,780.3318,731.3324,714.7283
6086,595.9251999999999,516.4354999999999,572.7753,541.0069,510.57040000000006,530.3815999999999,495.818,559.9461,555.6697,501.2949,586.9364,592.7179,429.9041,595.8595,609.5846,501.9698,548.4906,575.1106,577.0755999999999,591.2784999999999,531.6896,549.7568,599.2638999999999,530.5548,477.4462,601.4678,527.4549999999999,523.6803,509.0414,524.0984000000001
6087,282.5226,239.5305,275.6789,266.1867,262.69120000000004,266.1658,241.756,273.89930000000004,273.3061,245.4217,283.4552,282.07770000000005,228.9803,281.0605,290.9558,236.7974,267.2248,280.3618,288.6258,285.5105,259.8088,271.7594,285.8917,258.1984,234.8486,287.6504,248.324,247.0739,252.3082,268.2002
6088,205.8096,112.75789999999998,193.2509,175.75889999999998,173.3408,177.9868,122.8852,191.4473,190.8461,131.0985,210.1284,205.3587,104.3145,202.0787,224.4774,108.8634,176.81099999999998,204.7442,225.4896,214.4605,161.4232,188.154,213.7223,157.542,109.1374,217.7538,132.91539999999998,130.5239,147.07420000000002,184.5468
6089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6101,35.2692,44.99899999999999,37.7138,41.0754,43.9124,41.9836,46.606,38.9306,39.3362,45.88739999999999,35.9724,35.5734,53.10659999999999,35.375,33.525600000000004,46.4208,40.3656,37.1936,36.4596,35.461,42.3076,39.9468,34.7534,42.5148,48.6472,34.4448,43.456,43.8638,44.7544,42.3804
6102,207.2118,314.4615999999999,218.8262,235.1124,231.366,229.6594,296.0488,218.3054,218.1318,286.22779999999995,199.3144,207.0816,305.9272,212.2308,185.1688,316.3852,235.4162,203.856,176.3166,194.469,252.31,220.4026,197.304,257.2856,310.368,192.3718,289.8006,292.1582,266.4556,219.361
6103,358.57450000000006,555.9497,373.16,393.9361,371.5358,377.0535,506.0676000000001,366.032,363.65600000000006,487.1524,337.1116,356.7925,496.8931,369.5171,316.7578,553.402,398.0941,341.5202,282.2269,328.545,427.1862,365.8603,338.47130000000004,437.5348,528.7974,328.7167,507.1767,510.569,447.54,351.6043
