w246792829,w469681591,w482824940,w506294760,w592487869
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
18.5428,18.3943,18.3055,18.3502,18.6682
169.80199999999996,183.2841,191.7039,170.1146,166.2882
276.1628,299.48310000000004,314.0397,277.055,269.9238
480.6696,531.7924,563.5092,491.94720000000007,462.72
468.6596,504.8251000000001,527.1334999999999,482.8214,453.1274000000001
542.7536,586.9741,614.0635,569.0774,519.6333999999999
509.464,549.4741,573.7809,543.0406,484.0722
422.2652,455.7835,475.9227,461.1326,396.0714
246.4388,264.9572,275.8876,277.33160000000004,227.65
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
115.8516,135.3084,147.4102,118.6692,109.696
77.152,77.1428,77.1522,76.4248,77.4876
197.8972,204.3848,208.4514,197.3284,196.536
102.13,101.198,100.632,101.338,102.726
451.3684,484.1721,504.4093,464.0938,437.335
547.6344,592.2366,619.5608,574.1388000000001,524.336
132.9176,132.2864,131.9032,132.3752,133.324
434.0948,468.649,489.4098,474.2024,407.07360000000006
247.6256,266.2452,277.2354,278.684,228.7356
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
140.8652,166.60879999999997,182.6254,144.3764,132.82
285.2008,329.8873,357.7755,287.1622,273.1302
401.9776,459.837,495.9336,405.1228,386.0712
530.1172,590.5541,628.0550999999999,543.1762,509.0226
612.6915999999999,673.2081000000001,710.5375,636.3754,586.7074
619.9592,674.5811,708.0450999999999,652.3442,591.4606
567.0576,613.5784,641.8412,606.0672,537.548
444.8328,480.04140000000007,501.1944,485.7468,417.2784
260.8232,280.4534,292.0398,293.582,240.9012
0.0,0.0,0.0,0.0,0.0
