Time,Hourly Residential Net Cost (€),Hourly Industrial Net Cost (€),Hourly Commercial Net Cost (€),Total Net Cost (€)
2019-03-05 13:00:00,72.6167395584,9.9391263198,39.3977380068,121.95360388499999
2019-03-05 14:00:00,79.4622120288,10.7253316302,39.336207067800004,129.52375072680002
2019-03-05 15:00:00,158.783439207344,20.525331980412,74.353234312224,253.66200549998
2019-03-05 16:00:00,258.553928343516,26.013603318338994,96.51591235369199,381.083444015547
2019-03-05 17:00:00,309.80133,24.412257720000003,102.55447260000001,436.76806032
2019-03-05 18:00:00,366.30354600000004,25.28864748,121.2579324,512.8501258800001
2019-03-05 19:00:00,400.525028,25.41865362,132.58675595,558.53043757
2019-03-05 20:00:00,331.95367799999997,19.76117172,109.88662289999999,461.60147262
2019-03-05 21:00:00,263.647428,16.15412568,87.27338400000001,367.07493768
2019-03-05 22:00:00,205.912785,12.62068626,68.1628779,286.69634916
2019-03-05 23:00:00,167.606205,11.33632344,55.48462335,234.42715178999998
2019-03-06 00:00:00,151.15518300000002,11.78451366,50.0359953,212.97569196
2019-03-06 01:00:00,129.307984,10.826851880000001,42.8037883,182.93862418
2019-03-06 02:00:00,112.54702,9.71801112,37.255699650000004,159.52073077
2019-03-06 03:00:00,98.46000000000001,8.581000000000001,32.594,139.63500000000002
2019-03-06 04:00:00,100.80000000000001,8.9262,33.3675,143.0937
2019-03-06 05:00:00,129.50704,11.524256639999999,42.869424,183.90072064
2019-03-06 06:00:00,117.60043215199998,15.357124061999999,56.89546536799998,189.85302158199997
2019-03-06 07:00:00,31.966268324999977,19.773151733349998,68.4089855903,120.14840564864998
2019-03-06 08:00:00,-26.90799919920002,25.414364222949995,79.5414528045,78.04781782824998
2019-03-06 09:00:00,-120.61039515056007,18.76020972504,59.98356429872,-41.86662112680007
2019-03-06 10:00:00,-149.15666137648802,10.0453630275,34.5848847858,-104.52641356318802
2019-03-06 11:00:00,-142.76717359422,4.064107174,14.398139303999999,-124.30492711622001
2019-03-06 12:00:00,-104.03289629141199,6.4604235004550015,24.622081894719997,-72.95039089623698
2019-03-06 13:00:00,-64.53873830342398,7.4254857040000015,29.22055032800001,-27.89270227142397
2019-03-06 14:00:00,-70.11929403832798,18.338147083438,67.82198134686,16.040834391970023
2019-03-06 15:00:00,53.48484482639999,26.967427514199997,97.5349767964,177.987249137
2019-03-06 16:00:00,242.75241376723199,30.274544645495997,108.50528870091999,381.532247113648
2019-03-06 17:00:00,359.875215,28.62846356,119.1281094,507.63178796
2019-03-06 18:00:00,408.31687500000004,27.843796700000002,135.16442,571.3250917
2019-03-06 19:00:00,419.45469299999996,25.968797640000002,138.85247205,584.2759626899999
2019-03-06 20:00:00,314.11474,18.9321488,103.984596,437.0314848
2019-03-06 21:00:00,250.10265,14.819924,82.79319500000001,347.715769
2019-03-06 22:00:00,210.36450000000002,12.743704999999999,69.6354875,292.7436925
2019-03-06 23:00:00,175.146972,11.63946784,57.9801222,244.76656204
2019-03-07 00:00:00,151.34378999999998,11.5584176,50.101299,213.00350659999998
2019-03-07 01:00:00,135.394,11.103904,44.81967,191.317574
2019-03-07 02:00:00,126.75846,10.8861336,41.96339075,179.60798435
2019-03-07 03:00:00,122.88552299999999,10.57384746,40.6776312,174.13700166
2019-03-07 04:00:00,125.21866500000002,11.26333494,41.450923800000005,177.93292374
2019-03-07 05:00:00,142.87308,12.640518239999999,47.296762799999996,202.81036103999998
2019-03-07 06:00:00,130.281615759504,16.368935275829998,60.837337599773996,207.487888635108
2019-03-07 07:00:00,52.657501227851995,24.608233876988997,89.01326418203399,166.27899928687498
2019-03-07 08:00:00,-4.935848147999996,37.277434635,118.95420578999999,151.29579227699998
2019-03-07 09:00:00,-93.10451602854405,39.505831503660005,126.359443246962,72.76075872207795
2019-03-07 10:00:00,-164.73852796415997,29.29094051166801,97.83705809886798,-37.61052935362399
2019-03-07 11:00:00,-185.89764672432,26.472067283999998,94.09915124999999,-65.32642819032002
2019-03-07 12:00:00,-87.52274766153599,24.2695596,93.59708044999999,30.343892388464006
2019-03-07 13:00:00,-37.137600824928064,18.870047646819998,75.86271549398002,57.59516231587195
2019-03-07 14:00:00,71.01863011051199,24.183815763852003,90.270215329104,185.47266120346802
2019-03-07 15:00:00,147.20244949035597,27.373639559571,97.115100848174,271.69118989810096
2019-03-07 16:00:00,238.980556212228,26.953792403337,99.085675101606,365.020023717171
2019-03-07 17:00:00,328.841625,25.741187500000002,108.858225,463.44103750000005
2019-03-07 18:00:00,375.438792,25.557516479999997,124.2846144,525.2809228799999
2019-03-07 19:00:00,482.933178,30.195528300000003,159.8672943,672.9960006
2019-03-07 20:00:00,295.73715599999997,17.4765558,97.89771585,411.11142764999994
2019-03-07 21:00:00,233.364624,13.6901998,77.2524665,324.3072903
2019-03-07 22:00:00,197.30203,11.94250272,65.3153942,274.55992692
2019-03-07 23:00:00,166.14175,11.048644999999999,54.9987625,232.1891575
2019-03-08 00:00:00,135.620046,10.3525902,44.89465559999999,190.8672918
2019-03-08 01:00:00,115.450293,9.746250640000001,38.21749785,163.41404149
2019-03-08 02:00:00,110.488816,9.31242048,36.5759368,156.37717328
2019-03-08 03:00:00,108.2916,9.319116,35.84745,153.458166
2019-03-08 04:00:00,109.5903,9.848586000000001,36.27924,155.71812599999998
2019-03-08 05:00:00,125.654844,11.09612196,41.59626975,178.34723571
2019-03-08 06:00:00,123.32827833332799,14.905125667084,56.220718594863996,194.45412259527598
2019-03-08 07:00:00,89.40779600782,20.721655588062998,74.824149776188,184.95360137207098
2019-03-08 08:00:00,-30.49077351756001,30.00431943297,92.99052751098,92.50407342639
2019-03-08 09:00:00,-54.67795698017997,26.644304317250004,86.91164783549999,58.877995172570024
2019-03-08 10:00:00,73.32035273483199,26.247792386036004,91.23585783073199,190.80400295159998
2019-03-08 11:00:00,1.1942793695999951,21.3742435386,79.8505844628,102.419107371
2019-03-08 12:00:00,7.048064848608029,13.80575291592,53.92298651913599,74.77680428366402
2019-03-08 13:00:00,17.650003663200007,8.881393602600001,36.381378156000004,62.91277542180001
2019-03-08 14:00:00,15.781904524439998,13.742200020542,52.083682132716,81.607786677698
2019-03-08 15:00:00,15.228843690000005,19.470260616300003,73.47163704,108.17074134630002
2019-03-08 16:00:00,205.467202058232,23.504423042058,91.28970658550399,320.261331685794
2019-03-08 17:00:00,306.144589,22.79158046,101.34149345,430.27766291
2019-03-08 18:00:00,334.681206,21.81152166,110.79076094999999,467.28348860999995
2019-03-08 19:00:00,342.81467699999996,20.563248299999998,113.48244749999999,476.86037279999994
2019-03-08 20:00:00,267.959602,15.655631240000002,88.70529990000001,372.32053314
2019-03-08 21:00:00,217.679394,12.57237232,72.0593856,302.31115192
2019-03-08 22:00:00,188.77968,10.877368500000001,62.49283515,262.14988365
2019-03-08 23:00:00,152.6056,9.521666,50.519070000000006,212.64633600000002
2019-03-09 00:00:00,137.24040000000002,9.997059600000002,45.43157850000001,192.66903810000002
2019-03-09 01:00:00,114.52,9.0328,37.90864,161.46143999999998
2019-03-09 02:00:00,109.110456,9.20333596,36.120357,154.43414896000002
2019-03-09 03:00:00,96.38000000000001,8.412600000000001,31.9035,136.6961
2019-03-09 04:00:00,97.14,8.4016,32.158,137.6996
2019-03-09 05:00:00,114.96900000000001,10.194792000000001,38.05662,163.220412
2019-03-09 06:00:00,71.92723479040001,12.494877491199999,47.6418566384,132.06396892
2019-03-09 07:00:00,-20.858520879824,14.174061555229999,56.302932889607995,49.61847356501399
2019-03-09 08:00:00,-111.81522180726002,13.600244614875,52.898254592,-45.31672260038502
2019-03-09 09:00:00,-231.639027833136,9.194164628500001,39.293354016,-183.151509188636
2019-03-09 10:00:00,-232.77652113774798,4.686869364300001,22.6186402806,-205.47101149284796
2019-03-09 11:00:00,-231.67451409035996,3.6908568905599997,18.60157185952,-209.38208534027996
2019-03-09 12:00:00,-211.38339108249605,4.25663882,22.85302594,-184.27372632249603
2019-03-09 13:00:00,-165.888317356336,3.9511694599999996,22.671033710000003,-139.26611418633598
