,full_id,osm_id,osm_type,Area,S_coeff,W_coeff,E_coeff,Chosen_Production,Chosen_Consumption
852,w488116403,488116403,way,44.09336383885472,0.21,0.28,0.51,1.0,1.0
856,w488116632,488116632,way,9.003164639011782,0.64,0.31,0.05,1.0,1.0
860,w488116636,488116636,way,17.37781923448821,0.66,0.18,0.16,1.0,1.0
872,w488118378,488118378,way,30.61520768987123,0.17,0.28,0.55,1.0,1.0
874,w488118750,488118750,way,29.09904807715826,0.04,0.47,0.49,1.0,1.0
875,w488118752,488118752,way,29.83875605147294,0.07,0.53,0.4,1.0,1.0
878,w488118755,488118755,way,40.28169215944494,0.82,0.09,0.09,1.0,1.0
882,w488118759,488118759,way,15.900337162915877,0.27,0.49,0.24,1.0,1.0
884,w488118873,488118873,way,19.729413735838943,0.19,0.15,0.66,1.0,1.0
885,w488118874,488118874,way,28.99461871607854,0.42,0.23,0.35,1.0,1.0
888,w488119522,488119522,way,24.892865478113983,0.08,0.21,0.71,1.0,1.0
889,w488119524,488119524,way,7.647516822032455,0.25,0.21,0.54,1.0,1.0
895,w488119534,488119534,way,19.20339917632628,0.52,0.43,0.05,1.0,1.0
904,w488119824,488119824,way,14.50214405068185,0.52,0.06,0.42,1.0,1.0
905,w488119825,488119825,way,12.16698750431589,0.4,0.36,0.24,1.0,1.0
908,w488120349,488120349,way,12.626283305360957,0.13,0.41,0.46,1.0,1.0
911,w488120352,488120352,way,36.00008835517642,0.2799999999999999,0.48,0.24,1.0,1.0
913,w488120785,488120785,way,17.72495016622543,0.5,0.04,0.46,1.0,1.0
914,w488120786,488120786,way,14.675226047286202,0.36,0.33,0.31,1.0,1.0
917,w488120789,488120789,way,20.03980100349256,0.19,0.38,0.43,1.0,1.0
922,w488121957,488121957,way,11.750236998525525,0.7,0.2299999999999999,0.0699999999999999,1.0,1.0
923,w488121958,488121958,way,17.787801170578966,0.39,0.25,0.36,1.0,1.0
924,w488121959,488121959,way,20.70505471111151,0.89,0.1,0.01,1.0,1.0
925,w488121960,488121960,way,12.56536617806445,0.17,0.28,0.55,1.0,1.0
926,w488121961,488121961,way,16.561723116420772,0.31,0.54,0.15,1.0,1.0
928,w488121963,488121963,way,15.953518781984254,0.26,0.72,0.02,1.0,1.0
929,w488121964,488121964,way,32.71829898939337,0.45,0.09,0.46,1.0,1.0
932,w488122048,488122048,way,13.50523042778193,0.35,0.22,0.43,1.0,1.0
936,w488124899,488124899,way,21.003838716422933,0.49,0.39,0.12,1.0,1.0
940,w488346880,488346880,way,18.323485115376787,0.46,0.05,0.49,1.0,1.0
944,w488348205,488348205,way,8.494554973012404,0.69,0.09,0.22,1.0,1.0
946,w488348208,488348208,way,16.126600778588603,0.53,0.22,0.25,1.0,1.0
948,w488348210,488348210,way,15.72628822778301,0.16,0.47,0.37,1.0,1.0
949,w488348211,488348211,way,26.793866625176296,0.46,0.29,0.25,1.0,1.0
950,w488348212,488348212,way,19.376481172930628,0.22,0.22,0.56,1.0,1.0
954,w488348811,488348811,way,20.75146776048028,0.11,0.52,0.37,1.0,1.0
956,w488348814,488348814,way,31.61695600541373,0.21,0.22,0.57,1.0,1.0
959,w488349396,488349396,way,13.469453702226842,0.2799999999999999,0.16,0.56,1.0,1.0
961,w488349400,488349400,way,26.804502948989967,0.36,0.03,0.61,1.0,1.0
963,w488349402,488349402,way,14.158880873058695,0.36,0.41,0.23,1.0,1.0
965,w488349404,488349404,way,24.0255216180352,0.24,0.66,0.1,1.0,1.0
971,w488349998,488349998,way,40.45187334046374,0.05,0.41,0.54,1.0,1.0
972,w488352502,488352502,way,13.690882625256988,0.01,0.32,0.67,1.0,1.0
974,w491015575,491015575,way,105.45141510436127,0.36,0.3,0.34,1.0,1.0
986,w491015649,491015649,way,16.864374875846256,0.23,0.47,0.3,1.0,1.0
988,w491015651,491015651,way,20.788211424563883,0.15,0.54,0.31,1.0,1.0
991,w491015912,491015912,way,17.234712332267854,0.33,0.28,0.39,1.0,1.0
995,w491015922,491015922,way,16.50950843588091,0.35,0.44,0.21,1.0,1.0
998,w491016179,491016179,way,45.98179478504632,0.0999999999999999,0.28,0.62,1.0,1.0
999,w491016180,491016180,way,27.077179614031454,0.27,0.55,0.18,1.0,1.0
1002,w491016183,491016183,way,127.7596538957522,0.18,0.43,0.39,1.0,1.0
1006,w492144325,492144325,way,11.695121502400118,0.41,0.55,0.04,1.0,1.0
1007,w492144327,492144327,way,8.010118770225926,0.21,0.33,0.46,1.0,1.0
1010,w492144331,492144331,way,18.21808881576855,0.25,0.26,0.49,1.0,1.0
1011,w492144332,492144332,way,17.963783982768863,0.05,0.39,0.56,1.0,1.0
1015,w492144774,492144774,way,19.15795306548603,0.31,0.31,0.38,1.0,1.0
1023,w492146272,492146272,way,9.932392564915586,0.37,0.32,0.31,1.0,1.0
1032,w492149245,492149245,way,24.43066886148337,0.3,0.55,0.15,1.0,1.0
1041,w492153304,492153304,way,57.74943667708513,0.35,0.31,0.34,1.0,1.0
1044,w494511984,494511984,way,22.61572524345898,0.19,0.41,0.4,1.0,1.0
1045,w494511986,494511986,way,17.157357249986582,0.44,0.36,0.2,1.0,1.0
1046,w494511987,494511987,way,45.63079609919504,0.59,0.36,0.05,1.0,1.0
1047,w494511988,494511988,way,55.35916463459376,0.44,0.1,0.46,1.0,1.0
1049,w494511990,494511990,way,12.8477122283911,0.27,0.23,0.5,1.0,1.0
1050,w494512155,494512155,way,14.668457477586587,0.63,0.04,0.33,1.0,1.0
1051,w494512156,494512156,way,15.78333760096545,0.41,0.32,0.27,1.0,1.0
1053,w494512158,494512158,way,44.28191685191532,0.3399999999999999,0.21,0.45,1.0,1.0
1057,w494512162,494512162,way,13.125223586075172,0.05,0.65,0.3,1.0,1.0
1058,w494512163,494512163,way,19.86768594541672,0.02,0.69,0.29,1.0,1.0
1063,w494512377,494512377,way,15.010753716681227,0.49,0.07,0.44,1.0,1.0
1064,w494512379,494512379,way,40.69650878817827,0.22,0.29,0.49,1.0,1.0
1069,w494512683,494512683,way,32.72796837467853,0.77,0.21,0.02,1.0,1.0
1071,w494512686,494512686,way,32.12749954847014,0.3,0.24,0.46,1.0,1.0
1072,w494512687,494512687,way,22.62249381315859,0.67,0.11,0.22,1.0,1.0
1075,w494512690,494512690,way,27.466855841023374,0.33,0.33,0.34,1.0,1.0
1077,w494512692,494512692,way,22.98799657693761,0.39,0.18,0.43,1.0,1.0
1079,w494513617,494513617,way,38.01808906418916,0.09,0.45,0.46,1.0,1.0
1084,w494513623,494513623,way,11.095619614720244,0.52,0.39,0.09,1.0,1.0
1087,w494513626,494513626,way,18.344757763004136,0.32,0.32,0.36,1.0,1.0
1088,w494513628,494513628,way,8.409464382503003,0.32,0.18,0.5,1.0,1.0
1099,w494839324,494839324,way,26.3326369470742,0.48,0.49,0.03,1.0,1.0
1103,w494839335,494839335,way,20.366626226130936,0.13,0.22,0.65,1.0,1.0
1107,w494839420,494839420,way,10.44680386208606,0.32,0.43,0.25,1.0,1.0
1108,w494839421,494839421,way,15.154827557430098,0.29,0.55,0.16,1.0,1.0
1112,w494839425,494839425,way,25.238062532794167,0.11,0.31,0.58,1.0,1.0
1118,w494839669,494839669,way,11.139131848503462,0.1,0.76,0.14,1.0,1.0
1119,w494844363,494844363,way,82.98169757870821,0.33,0.0,0.67,1.0,1.0
1121,w494844367,494844367,way,29.299204352561052,0.58,0.33,0.09,1.0,1.0
1122,w494844368,494844368,way,18.83789641254726,0.45,0.13,0.42,1.0,1.0
1123,w494844369,494844369,way,18.058543958563423,0.24,0.46,0.3,1.0,1.0
1128,w494844376,494844376,way,28.84377630563006,0.53,0.43,0.04,1.0,1.0
1131,w500800895,500800895,way,21.2204329468105,0.44,0.41,0.15,1.0,1.0
1133,w500800897,500800897,way,24.683039817426028,0.01,0.6,0.39,1.0,1.0
1136,w500800903,500800903,way,18.62613687480227,0.27,0.42,0.31,1.0,1.0
1137,w500801407,500801407,way,90.650487048368,0.43,0.39,0.18,1.0,1.0
1142,w500801413,500801413,way,14.023509479066467,0.05,0.47,0.48,1.0,1.0
1143,w500801414,500801414,way,11.37409791093283,0.02,0.3,0.68,1.0,1.0
1144,w500801415,500801415,way,16.21265830762652,0.23,0.45,0.32,1.0,1.0
1146,w500801417,500801417,way,25.005030347421837,0.54,0.13,0.33,1.0,1.0
1148,w500801419,500801419,way,32.31025093035964,0.45,0.24,0.31,1.0,1.0
1151,w500801423,500801423,way,15.90903960967252,0.1,0.62,0.28,1.0,1.0
1152,w500802027,500802027,way,17.564438370491786,0.39,0.27,0.34,1.0,1.0
1155,w500802031,500802031,way,47.692309041991,0.42,0.18,0.4,1.0,1.0
1157,w500802033,500802033,way,46.349231425882365,0.36,0.25,0.39,1.0,1.0
1158,w500802034,500802034,way,38.44064120115062,0.26,0.5,0.24,1.0,1.0
1160,w500802054,500802054,way,36.17413729030929,0.44,0.4,0.16,1.0,1.0
1164,w500803005,500803005,way,11.859501052247824,0.39,0.07,0.54,1.0,1.0
1166,w500803008,500803008,way,12.133144655817834,0.23,0.01,0.76,1.0,1.0
1168,w500803010,500803010,way,19.710074965268625,0.59,0.14,0.27,1.0,1.0
1171,w500803015,500803015,way,25.66738323945524,0.49,0.18,0.33,1.0,1.0
1174,w500803020,500803020,way,15.979626122254183,0.48,0.3,0.22,1.0,1.0
1180,w503778764,503778764,way,57.04743930538257,0.81,0.05,0.14,1.0,1.0
1181,w503778765,503778765,way,9.829897080892898,0.28,0.12,0.6,1.0,1.0
