time,P,G(i),H_sun,T2m,WS10m,Int
20190109:1310,44.64,66.48,20.37,3.88,1.59,0.0
20190109:1410,139.88,172.76,13.91,2.23,1.59,0.0
20190109:1510,18.22,33.72,5.69,1.57,1.24,0.0
20190109:1610,0.0,0.0,0.0,0.73,1.1,0.0
20190109:1710,0.0,0.0,0.0,0.3,1.17,0.0
20190109:1810,0.0,0.0,0.0,-0.64,1.31,0.0
20190109:1910,0.0,0.0,0.0,-1.55,1.31,0.0
20190109:2010,0.0,0.0,0.0,-2.0,1.38,0.0
20190109:2110,0.0,0.0,0.0,-2.34,1.38,0.0
20190109:2210,0.0,0.0,0.0,-3.24,1.66,0.0
20190109:2310,0.0,0.0,0.0,-2.14,1.31,0.0
20190110:0010,0.0,0.0,0.0,-2.15,1.31,0.0
20190110:0110,0.0,0.0,0.0,-2.52,1.38,0.0
20190110:0210,0.0,0.0,0.0,-3.37,1.52,0.0
20190110:0310,0.0,0.0,0.0,-3.26,1.45,0.0
20190110:0410,0.0,0.0,0.0,-3.47,1.52,0.0
20190110:0510,0.0,0.0,0.0,-3.48,1.52,0.0
20190110:0610,0.0,0.0,0.0,-3.55,1.52,0.0
20190110:0710,15.25,29.16,4.91,-4.57,2.0,0.0
20190110:0810,69.06,92.03,13.28,-3.48,1.79,0.0
20190110:0910,87.57,113.07,19.95,-2.12,2.0,0.0
20190110:1010,129.96,161.2,24.35,0.16,2.07,0.0
20190110:1110,151.11,184.66,25.99,0.72,2.0,0.0
20190110:1210,203.27,242.27,24.66,0.76,1.79,0.0
20190110:1310,236.68,278.45,20.54,0.79,1.72,0.0
20190110:1410,347.07,401.81,14.08,0.5,1.66,0.0
20190110:1510,153.95,187.32,5.86,-0.49,1.38,0.0
20190110:1610,0.0,0.0,0.0,-1.6,1.17,0.0
20190110:1710,0.0,0.0,0.0,-1.37,1.24,0.0
20190110:1810,0.0,0.0,0.0,-1.24,1.17,0.0
20190110:1910,0.0,0.0,0.0,-1.55,1.31,0.0
20190110:2010,0.0,0.0,0.0,-0.74,1.17,0.0
20190110:2110,0.0,0.0,0.0,-0.83,1.17,0.0
20190110:2210,0.0,0.0,0.0,-1.02,1.24,0.0
20190110:2310,0.0,0.0,0.0,-1.21,1.17,0.0
20190111:0010,0.0,0.0,0.0,-1.32,1.24,0.0
20190111:0110,0.0,0.0,0.0,-1.58,1.17,0.0
20190111:0210,0.0,0.0,0.0,-1.79,1.24,0.0
20190111:0310,0.0,0.0,0.0,-1.92,1.31,0.0
20190111:0410,0.0,0.0,0.0,-2.15,1.38,0.0
