time,P,G(i),H_sun,T2m,WS10m,Int
20190114:1310,100.91,130.94,21.27,4.75,1.72,0.0
20190114:1410,419.21,495.49,14.82,5.46,1.52,0.0
20190114:1510,183.5,238.2,6.59,5.21,1.1,0.0
20190114:1610,0.0,0.0,0.0,3.46,1.03,0.0
20190114:1710,0.0,0.0,0.0,3.38,0.9,0.0
20190114:1810,0.0,0.0,0.0,2.35,0.97,0.0
20190114:1910,0.0,0.0,0.0,2.93,0.97,0.0
20190114:2010,0.0,0.0,0.0,2.37,1.03,0.0
20190114:2110,0.0,0.0,0.0,1.88,0.97,0.0
20190114:2210,0.0,0.0,0.0,1.66,0.76,0.0
20190114:2310,0.0,0.0,0.0,1.62,0.69,0.0
20190115:0010,0.0,0.0,0.0,1.47,0.9,0.0
20190115:0110,0.0,0.0,0.0,0.95,1.24,0.0
20190115:0210,0.0,0.0,0.0,0.1,1.38,0.0
20190115:0310,0.0,0.0,0.0,0.36,1.31,0.0
20190115:0410,0.0,0.0,0.0,0.21,1.24,0.0
20190115:0510,0.0,0.0,0.0,-0.38,1.24,0.0
20190115:0610,0.0,0.0,0.0,-0.75,1.24,0.0
20190115:0710,262.04,305.27,5.26,-0.76,1.03,0.0
20190115:0810,512.81,589.18,13.74,-0.35,1.03,0.0
20190115:0910,671.35,792.84,20.53,1.54,1.1,0.0
20190115:1010,739.36,894.41,25.06,3.13,0.97,0.0
20190115:1110,763.75,929.73,26.82,3.97,1.1,0.0
20190115:1210,712.06,856.58,25.57,4.57,1.38,0.0
20190115:1310,606.61,717.16,21.47,4.67,1.59,0.0
20190115:1410,430.69,507.18,15.02,4.34,1.38,0.0
20190115:1510,195.48,250.82,6.78,3.65,0.9,0.0
20190115:1610,0.0,0.0,0.0,2.5,0.62,0.0
20190115:1710,0.0,0.0,0.0,2.04,0.55,0.0
20190115:1810,0.0,0.0,0.0,1.4,0.48,0.0
20190115:1910,0.0,0.0,0.0,1.29,0.55,0.0
20190115:2010,0.0,0.0,0.0,1.08,0.41,0.0
20190115:2110,0.0,0.0,0.0,1.14,0.62,0.0
20190115:2210,0.0,0.0,0.0,1.3,0.76,0.0
20190115:2310,0.0,0.0,0.0,1.61,0.83,0.0
20190116:0010,0.0,0.0,0.0,1.87,0.83,0.0
20190116:0110,0.0,0.0,0.0,0.94,0.83,0.0
20190116:0210,0.0,0.0,0.0,1.23,0.83,0.0
20190116:0310,0.0,0.0,0.0,1.42,0.76,0.0
20190116:0410,0.0,0.0,0.0,1.54,0.69,0.0
20190116:0510,0.0,0.0,0.0,1.49,0.62,0.0
20190116:0610,0.0,0.0,0.0,1.41,0.62,0.0
20190116:0710,220.07,261.58,5.35,1.17,0.48,0.0
20190116:0810,289.29,336.13,13.85,1.7,0.55,0.0
20190116:0910,651.69,774.55,20.67,2.64,0.9,0.0
20190116:1010,740.33,891.76,25.23,3.7,1.31,0.0
20190116:1110,761.64,920.22,27.01,4.28,1.52,0.0
20190116:1210,678.36,811.1,25.76,5.04,1.59,0.0
20190116:1310,593.91,703.7,21.67,5.24,1.52,0.0
20190116:1410,409.18,482.69,15.22,5.09,1.45,0.0
20190116:1510,177.73,229.46,6.98,4.69,1.1,0.0
20190116:1610,0.0,0.0,0.0,3.08,0.97,0.0
20190116:1710,0.0,0.0,0.0,2.95,0.9,0.0
20190116:1810,0.0,0.0,0.0,2.67,0.9,0.0
20190116:1910,0.0,0.0,0.0,2.65,0.83,0.0
20190116:2010,0.0,0.0,0.0,2.34,0.9,0.0
20190116:2110,0.0,0.0,0.0,2.11,0.9,0.0
20190116:2210,0.0,0.0,0.0,1.63,0.97,0.0
20190116:2310,0.0,0.0,0.0,1.25,0.9,0.0
20190117:0010,0.0,0.0,0.0,0.98,0.76,0.0
20190117:0110,0.0,0.0,0.0,0.88,0.76,0.0
20190117:0210,0.0,0.0,0.0,-0.01,0.69,0.0
20190117:0310,0.0,0.0,0.0,-0.48,0.62,0.0
20190117:0410,0.0,0.0,0.0,-0.94,0.55,0.0
20190117:0510,0.0,0.0,0.0,-1.18,0.55,0.0
20190117:0610,0.0,0.0,0.0,-1.01,0.48,0.0
20190117:0710,36.26,55.45,5.44,-0.51,0.48,0.0
20190117:0810,84.0,109.85,13.97,0.57,0.55,0.0
20190117:0910,164.75,200.42,20.82,3.2,0.9,0.0
20190117:1010,83.19,111.11,25.4,4.65,1.45,0.0
20190117:1110,115.88,148.28,27.2,5.4,1.72,0.0
20190117:1210,57.99,82.65,25.97,6.03,2.07,0.0
20190117:1310,62.81,88.16,21.88,5.77,2.0,0.0
20190117:1410,92.79,122.05,15.43,5.47,1.93,0.0
20190117:1510,30.68,50.42,7.18,4.96,1.52,0.0
20190117:1610,0.0,0.0,0.0,3.74,1.24,0.0
20190117:1710,0.0,0.0,0.0,2.37,1.24,0.0
20190117:1810,0.0,0.0,0.0,1.79,1.24,0.0
20190117:1910,0.0,0.0,0.0,1.59,1.24,0.0
20190117:2010,0.0,0.0,0.0,1.51,1.38,0.0
20190117:2110,0.0,0.0,0.0,1.7,1.31,0.0
20190117:2210,0.0,0.0,0.0,1.84,1.38,0.0
20190117:2310,0.0,0.0,0.0,1.89,1.38,0.0
20190118:0010,0.0,0.0,0.0,1.86,1.31,0.0
20190118:0110,0.0,0.0,0.0,2.03,1.24,0.0
20190118:0210,0.0,0.0,0.0,1.98,1.17,0.0
20190118:0310,0.0,0.0,0.0,2.04,1.03,0.0
20190118:0410,0.0,0.0,0.0,2.08,1.31,0.0
20190118:0510,0.0,0.0,0.0,2.34,1.03,0.0
20190118:0610,0.0,0.0,0.0,2.3,0.9,0.0
20190118:0710,70.38,95.54,5.54,2.61,1.03,0.0
20190118:0810,169.0,203.82,14.09,3.15,1.31,0.0
20190118:0910,76.74,103.77,20.97,4.52,1.24,0.0
20190118:1010,48.62,71.63,25.58,5.72,1.38,0.0
20190118:1110,125.87,160.67,27.4,7.1,1.52,0.0
20190118:1210,29.47,48.67,26.18,6.49,1.45,0.0
20190118:1310,28.01,46.83,22.1,6.4,1.45,0.0
20190118:1410,27.31,45.91,15.64,6.11,1.17,0.0
20190118:1510,62.46,90.08,7.38,5.57,0.9,0.0
20190118:1610,0.0,0.0,0.0,4.23,0.76,0.0
20190118:1710,0.0,0.0,0.0,3.99,0.69,0.0
20190118:1810,0.0,0.0,0.0,3.28,0.55,0.0
20190118:1910,0.0,0.0,0.0,2.49,0.55,0.0
20190118:2010,0.0,0.0,0.0,2.06,0.41,0.0
20190118:2110,0.0,0.0,0.0,1.7,0.41,0.0
20190118:2210,0.0,0.0,0.0,1.24,0.62,0.0
20190118:2310,0.0,0.0,0.0,0.51,0.62,0.0
20190119:0010,0.0,0.0,0.0,0.28,0.62,0.0
20190119:0110,0.0,0.0,0.0,0.03,0.55,0.0
20190119:0210,0.0,0.0,0.0,0.05,0.55,0.0
20190119:0310,0.0,0.0,0.0,-0.14,0.55,0.0
20190119:0410,0.0,0.0,0.0,-0.28,0.55,0.0
20190119:0510,0.0,0.0,0.0,0.22,0.55,0.0
20190119:0610,0.0,0.0,0.0,0.71,0.48,0.0
20190119:0710,18.08,33.52,5.65,1.87,0.55,0.0
