,full_id,osm_id,osm_type,Area,S_coeff,W_coeff,E_coeff,Chosen_Production,Chosen_Consumption
130,w472398036,472398036,way,15.32790955403445,0.34,0.58,0.08,0.0,0.0
131,w472398037,472398037,way,13.437544730785817,0.49,0.24,0.27,0.0,0.0
132,w472398038,472398038,way,13.883303392431658,0.34,0.32,0.34,0.0,0.0
133,w472398039,472398039,way,25.25836824189301,0.1399999999999999,0.36,0.5,1.0,1.0
134,w472398041,472398041,way,29.87549971555655,0.21,0.35,0.44,0.0,1.0
135,w472398042,472398042,way,21.600439788517257,0.16,0.07,0.77,1.0,0.0
136,w472398044,472398044,way,20.792079178677945,0.36,0.58,0.06,0.0,0.0
137,w472398045,472398045,way,14.602705657647506,0.55,0.3,0.15,0.0,0.0
138,w472398046,472398046,way,7.396112804618313,0.26,0.67,0.07,0.0,0.0
139,w472398047,472398047,way,8.28472931232445,0.22,0.37,0.41,0.0,0.0
140,w472398048,472398048,way,4.258397279584136,0.16,0.46,0.38,1.0,0.0
141,w472398320,472398320,way,20.83172365834709,0.31,0.49,0.2,0.0,1.0
142,w472398323,472398323,way,13.643502637359708,0.37,0.07,0.56,0.0,0.0
143,w472398325,472398325,way,9.640377129303776,0.35,0.13,0.52,0.0,0.0
144,w472398326,472398326,way,11.638072129217678,0.61,0.15,0.24,0.0,0.0
145,w472398327,472398327,way,15.120984708932042,0.28,0.37,0.35,0.0,0.0
146,w472410490,472410490,way,64.55571697930873,0.65,0.05,0.3,0.0,1.0
147,w472420798,472420798,way,22.875831707629764,0.47,0.42,0.11,0.0,1.0
148,w472420802,472420802,way,28.576901271759663,0.11,0.28,0.61,1.0,1.0
149,w472420804,472420804,way,25.31735149213248,0.08,0.78,0.14,1.0,1.0
150,w472420805,472420805,way,14.101831499876257,0.36,0.22,0.42,0.0,0.0
151,w472421176,472421176,way,24.58827984163147,0.2,0.42,0.38,0.0,1.0
152,w472421177,472421177,way,15.096811245719143,0.3,0.35,0.35,0.0,0.0
153,w472425845,472425845,way,18.90171435542931,0.07,0.63,0.3,1.0,0.0
154,w473446199,473446199,way,19.46350564049706,0.34,0.21,0.45,0.0,0.0
155,w473446201,473446201,way,50.90157801813534,0.49,0.12,0.39,0.0,1.0
156,w473446208,473446208,way,11.642906821860258,0.29,0.4,0.31,0.0,0.0
157,w473446967,473446967,way,14.337764500834142,0.44,0.13,0.43,0.0,0.0
158,w473446968,473446968,way,25.40244208264188,0.61,0.16,0.23,0.0,1.0
159,w473446971,473446971,way,19.76422352286552,0.22,0.08,0.7,1.0,0.0
160,w473446973,473446973,way,10.14511904118909,0.46,0.27,0.27,0.0,0.0
161,w473446977,473446977,way,12.528622513980846,0.41,0.38,0.21,0.0,0.0
162,w473446978,473446978,way,61.17529988361705,0.44,0.37,0.19,0.0,1.0
163,w473446979,473446979,way,48.10712567072432,0.24,0.39,0.37,0.0,1.0
164,w473446981,473446981,way,25.06014584354724,0.44,0.23,0.33,0.0,1.0
165,w473450644,473450644,way,59.8061149272385,0.35,0.29,0.36,0.0,1.0
166,w473450645,473450645,way,9.75350893714014,0.3,0.25,0.45,0.0,0.0
