datetime,date,hour,SUD [Eur/MWh],SUD [Eur/Wh]
2019-01-10 09:00:00,20190110,10,61,"0,000006103"
2019-01-10 10:00:00,20190110,11,60,"0,000006"
2019-01-10 11:00:00,20190110,12,59,"0,000005858"
2019-01-10 12:00:00,20190110,13,60,"0,000006"
2019-01-10 13:00:00,20190110,14,67,"0,000006682"
2019-01-10 14:00:00,20190110,15,71,"0,000007085"
2019-01-10 15:00:00,20190110,16,75,"0,000007540267"
2019-01-10 16:00:00,20190110,17,78,"0,000007802"
2019-01-10 17:00:00,20190110,18,81,"0,000008103"
2019-01-10 18:00:00,20190110,19,81,"0,000008103"
2019-01-10 19:00:00,20190110,20,79,"0,000007852"
2019-01-10 20:00:00,20190110,21,78,"0,000007796"
2019-01-10 21:00:00,20190110,22,69,"0,00000689"
2019-01-10 22:00:00,20190110,23,69,"0,000006895"
2019-01-10 23:00:00,20190110,24,64,"0,000006399"
2019-01-11 00:00:00,20190111,1,62,"0,000006166"
2019-01-11 01:00:00,20190111,2,60,"0,000005966"
2019-01-11 02:00:00,20190111,3,57,"0,000005712"
2019-01-11 03:00:00,20190111,4,58,"0,000005797"
2019-01-11 04:00:00,20190111,5,58,"0,0000058"
2019-01-11 05:00:00,20190111,6,59,"0,000005914"
2019-01-11 06:00:00,20190111,7,66,"0,000006626"
2019-01-11 07:00:00,20190111,8,70,"0,000007031"
2019-01-11 08:00:00,20190111,9,78,"0,000007796"
2019-01-11 09:00:00,20190111,10,76,"0,000007622"
2019-01-11 10:00:00,20190111,11,74,"0,000007387"
2019-01-11 11:00:00,20190111,12,73,"0,000007277"
2019-01-11 12:00:00,20190111,13,69,"0,000006877"
2019-01-11 13:00:00,20190111,14,67,"0,00000672"
2019-01-11 14:00:00,20190111,15,68,"0,0000068"
2019-01-11 15:00:00,20190111,16,71,"0,000007077"
2019-01-11 16:00:00,20190111,17,75,"0,0000075"
2019-01-11 17:00:00,20190111,18,79,"0,000007886"
2019-01-11 18:00:00,20190111,19,78,"0,000007829"
2019-01-11 19:00:00,20190111,20,78,"0,000007752"
2019-01-11 20:00:00,20190111,21,71,"0,000007099"
2019-01-11 21:00:00,20190111,22,68,"0,00000676"
2019-01-11 22:00:00,20190111,23,66,"0,000006626"
2019-01-11 23:00:00,20190111,24,64,"0,000006357034"
2019-01-12 00:00:00,20190112,1,65,"0,00000651"
2019-01-12 01:00:00,20190112,2,62,"0,000006212"
2019-01-12 02:00:00,20190112,3,59,"0,000005905"
2019-01-12 03:00:00,20190112,4,59,"0,0000059"
2019-01-12 04:00:00,20190112,5,57,"0,000005663"
2019-01-12 05:00:00,20190112,6,57,"0,000005663"
2019-01-12 06:00:00,20190112,7,62,"0,000006166"
2019-01-12 07:00:00,20190112,8,67,"0,000006661"
2019-01-12 08:00:00,20190112,9,73,"0,0000073"
2019-01-12 09:00:00,20190112,10,73,"0,0000073"
2019-01-12 10:00:00,20190112,11,65,"0,0000065"
2019-01-12 11:00:00,20190112,12,63,"0,000006303"
2019-01-12 12:00:00,20190112,13,60,"0,000006"
2019-01-12 13:00:00,20190112,14,60,"0,00000595"
2019-01-12 14:00:00,20190112,15,57,"0,000005699"
2019-01-12 15:00:00,20190112,16,62,"0,000006192"
2019-01-12 16:00:00,20190112,17,66,"0,000006563"
2019-01-12 17:00:00,20190112,18,78,"0,000007796"
2019-01-12 18:00:00,20190112,19,78,"0,0000078"
2019-01-12 19:00:00,20190112,20,79,"0,000007852"
2019-01-12 20:00:00,20190112,21,73,"0,0000073"
2019-01-12 21:00:00,20190112,22,67,"0,000006731"
2019-01-12 22:00:00,20190112,23,64,"0,00000636"
2019-01-12 23:00:00,20190112,24,60,"0,000006032"
2019-01-13 00:00:00,20190113,1,63,"0,000006344"
2019-01-13 01:00:00,20190113,2,61,"0,000006068"
2019-01-13 02:00:00,20190113,3,59,"0,00000587"
2019-01-13 03:00:00,20190113,4,53,"0,000005326"
2019-01-13 04:00:00,20190113,5,50,"0,00000502"
2019-01-13 05:00:00,20190113,6,50,"0,000004958"
2019-01-13 06:00:00,20190113,7,50,"0,000005025"
2019-01-13 07:00:00,20190113,8,58,"0,0000058"
2019-01-13 08:00:00,20190113,9,58,"0,000005825"
2019-01-13 09:00:00,20190113,10,58,"0,000005825"
2019-01-13 10:00:00,20190113,11,58,"0,0000058"
