full_id,osm_id,osm_type,Area
w475959203,475959203,way,"250,14"
w475959205,475959205,way,"199,35"
w475959207,475959207,way,"202,98"
w475959784,475959784,way,"393,7"
w475959786,475959786,way,"213,83"
w475959788,475959788,way,"333,12"
w475959790,475959790,way,"162,92"
w475959791,475959791,way,"318,85"
w475959793,475959793,way,"300,43"
w475959795,475959795,way,"164,97"
w475959796,475959796,way,"180,23"
w475960225,475960225,way,"93,93"
w475960226,475960226,way,"179,26"
w475960227,475960227,way,"433,7"
w475960228,475960228,way,"139,45"
w475960229,475960229,way,"220,1"
w475960230,475960230,way,"75,64"
w475960231,475960231,way,"197,41"
w475961441,475961441,way,"247,27"
w475962567,475962567,way,"112,48"
w475962568,475962568,way,"231,42"
w475962569,475962569,way,"152,95"
w475962570,475962570,way,"97,01"
w475962571,475962571,way,"171,76"
w475962572,475962572,way,"213,27"
w476739538,476739538,way,"399,71"
w476740810,476740810,way,"221,35"
w476740811,476740811,way,"210,31"
w476740812,476740812,way,"172,4"
w476740813,476740813,way,"125,46"
w476740814,476740814,way,"154,04"
w476740815,476740815,way,"260,16"
w476740816,476740816,way,"235,64"
w476740817,476740817,way,"313,14"
w476740818,476740818,way,"338,84"
w476740819,476740819,way,"328,73"
w476740820,476740820,way,"813,45"
w476741257,476741257,way,"168,62"
w476741258,476741258,way,"380,33"
w476741259,476741259,way,"222,72"
w476741260,476741260,way,"79,64"
w476741261,476741261,way,"133,62"
w476741263,476741263,way,"558,75"
w476744087,476744087,way,"151,72"
w476744088,476744088,way,"70,49"
w476744090,476744090,way,"276,89"
w476744091,476744091,way,"264,97"
w476744093,476744093,way,"61,8"
w476744095,476744095,way,"108,22"
w476744096,476744096,way,"242,04"
w476744098,476744098,way,"837,54"
w476746953,476746953,way,"126,44"
w476746954,476746954,way,"314,59"
w476746955,476746955,way,"239,59"
w476746956,476746956,way,"305,24"
w476746957,476746957,way,"104,26"
w476746958,476746958,way,"225,1"
w476746959,476746959,way,"230,94"
w476746960,476746960,way,"388,62"
w476746961,476746961,way,"68,98"
w476746963,476746963,way,"110,4"
w476748190,476748190,way,"153,84"
w476748191,476748191,way,"549,35"
w476748192,476748192,way,"146,31"
w476748193,476748193,way,"230,57"
w476748194,476748194,way,"190,8"
w476748195,476748195,way,"115,53"
w476748196,476748196,way,"142,52"
w476748198,476748198,way,"399,42"
w476748200,476748200,way,"200,36"
w476748201,476748201,way,"399,78"
w476748202,476748202,way,"274,49"
w476748203,476748203,way,"92,59"
w476748298,476748298,way,"104,48"
w476753359,476753359,way,"527,68"
w476753361,476753361,way,"173,45"
w476753362,476753362,way,"132,75"
w476754010,476754010,way,"1510,54"
w476754011,476754011,way,"1339,09"
w476754097,476754097,way,"549,57"
w477680539,477680539,way,"1712,62"
w477681559,477681559,way,"308,6"
w477683533,477683533,way,"691,68"
w477683534,477683534,way,"406,96"
w477683535,477683535,way,"612,4"
w477683536,477683536,way,485
w477683537,477683537,way,"181,77"
w477683538,477683538,way,"169,79"
w477683539,477683539,way,"102,54"
w477683540,477683540,way,"235,28"
w477683541,477683541,way,"279,88"
w477683542,477683542,way,"128,33"
w477683543,477683543,way,"532,6"
w477683544,477683544,way,"361,51"
w477683545,477683545,way,"211,52"
w477684041,477684041,way,"822,14"
w477684042,477684042,way,"667,23"
w477684043,477684043,way,"259,2"
w477684044,477684044,way,"262,31"
w477684045,477684045,way,"126,09"
w477684046,477684046,way,"386,87"
w477684047,477684047,way,"786,31"
w477684575,477684575,way,"150,5"
w477684576,477684576,way,"274,74"
w477684577,477684577,way,"220,76"
w477684578,477684578,way,"757,45"
w477684579,477684579,way,"221,15"
w477684580,477684580,way,"130,21"
w477684581,477684581,way,"289,3"
w477684582,477684582,way,"147,35"
w477684583,477684583,way,"303,57"
w477684584,477684584,way,"221,82"
w478152793,478152793,way,"947,51"
w478152794,478152794,way,"1165,78"
w478152795,478152795,way,"321,96"
w478152796,478152796,way,"312,27"
w478152797,478152797,way,"331,75"
w478152798,478152798,way,"432,42"
w478152799,478152799,way,"103,03"
w478152800,478152800,way,"449,62"
w478152801,478152801,way,"385,19"
w478152802,478152802,way,"419,91"
w478152803,478152803,way,"268,78"
w478152804,478152804,way,"171,27"
w478152805,478152805,way,"147,39"
w478153501,478153501,way,"157,27"
w478153502,478153502,way,"220,25"
w478153503,478153503,way,"168,94"
w478153506,478153506,way,"289,31"
w478153507,478153507,way,"214,86"
w478154189,478154189,way,"96,07"
w478154190,478154190,way,"161,77"
w478154191,478154191,way,"127,57"
w478154192,478154192,way,"300,35"
w478154193,478154193,way,"541,41"
w478154194,478154194,way,"58,28"
w478154602,478154602,way,"129,91"
w478154604,478154604,way,"196,03"
w478154606,478154606,way,"83,07"
w478155442,478155442,way,"569,61"
w478155444,478155444,way,"205,77"
w478155445,478155445,way,"378,17"
w478155447,478155447,way,"406,82"
w478155448,478155448,way,"265,48"
w478155449,478155449,way,"334,76"
w478155450,478155450,way,"184,61"
w478155452,478155452,way,"247,55"
w478155736,478155736,way,"435,77"
w478155737,478155737,way,"306,58"
w478155738,478155738,way,"42,14"
w478155739,478155739,way,"191,41"
w478155740,478155740,way,"212,72"
w478155741,478155741,way,"319,85"
w478156799,478156799,way,"49,12"
w478156800,478156800,way,"224,89"
w478156801,478156801,way,"186,21"
w478156802,478156802,way,"171,69"
w478156803,478156803,way,"180,5"
w478156804,478156804,way,"171,89"
w478156806,478156806,way,"187,88"
w478156808,478156808,way,"357,97"
w478156809,478156809,way,"173,85"
w478156810,478156810,way,"128,18"
w478156811,478156811,way,"161,16"
w478156812,478156812,way,"175,01"
w478157346,478157346,way,"209,82"
w478157349,478157349,way,"188,11"
w478157351,478157351,way,"102,86"
w478157353,478157353,way,"136,25"
w478157355,478157355,way,"416,05"
w478157357,478157357,way,"316,77"
w478158102,478158102,way,"464,78"
w478158103,478158103,way,"406,63"
w478158104,478158104,way,"391,96"
w478158105,478158105,way,"319,79"
w478158108,478158108,way,"176,79"
w478158109,478158109,way,"131,5"
w478158110,478158110,way,"483,6"
w478158894,478158894,way,"367,52"
w478158895,478158895,way,"170,39"
w478158896,478158896,way,"281,64"
w478158898,478158898,way,"228,8"
w478158899,478158899,way,"172,35"
w478158900,478158900,way,"213,64"
w478158901,478158901,way,"115,99"
w478158902,478158902,way,"260,42"
w478158903,478158903,way,"226,68"
w478160679,478160679,way,"131,97"
w478160680,478160680,way,"278,34"
w478160681,478160681,way,"527,23"
w478160682,478160682,way,"358,03"
w478160847,478160847,way,"466,48"
w478160849,478160849,way,"254,91"
w478160850,478160850,way,"220,87"
w478160851,478160851,way,"188,25"
w478160852,478160852,way,"74,61"
w478161213,478161213,way,"184,14"
w478161214,478161214,way,"325,71"
w478161215,478161215,way,"245,46"
w478161216,478161216,way,"336,67"
