time,G(i)_East,G(i)_South,G(i)_West,Tot_Production [W/m2]
20190119:1710,0.0,0.0,0.0,0.0
20190119:1810,0.0,0.0,0.0,0.0
20190119:1910,0.0,0.0,0.0,0.0
20190119:2010,0.0,0.0,0.0,0.0
20190119:2110,0.0,0.0,0.0,0.0
20190119:2210,0.0,0.0,0.0,0.0
20190119:2310,0.0,0.0,0.0,0.0
20190120:0010,0.0,0.0,0.0,0.0
20190120:0110,0.0,0.0,0.0,0.0
20190120:0210,0.0,0.0,0.0,0.0
20190120:0310,0.0,0.0,0.0,0.0
20190120:0410,0.0,0.0,0.0,0.0
20190120:0510,0.0,0.0,0.0,0.0
20190120:0610,0.0,0.0,0.0,0.0
20190120:0710,31.39,32.6,26.43,30.755000000000003
20190120:0810,187.14,269.36,102.97,207.2075
20190120:0910,153.85,151.23,139.94,149.0625
20190120:1010,135.34,124.89,129.16,128.57
20190120:1110,256.01,280.49,241.48,264.6175
20190120:1210,231.36,248.61,229.55,239.53250000000003
20190120:1310,144.59,138.01,140.64,140.3125
20190120:1410,102.12,99.92,102.87,101.20750000000001
20190120:1510,48.13,57.52,64.45,56.905
20190120:1610,0.0,0.0,0.0,0.0
20190120:1710,0.0,0.0,0.0,0.0
20190120:1810,0.0,0.0,0.0,0.0
20190120:1910,0.0,0.0,0.0,0.0
20190120:2010,0.0,0.0,0.0,0.0
20190120:2110,0.0,0.0,0.0,0.0
20190120:2210,0.0,0.0,0.0,0.0
20190120:2310,0.0,0.0,0.0,0.0
20190121:0010,0.0,0.0,0.0,0.0
20190121:0110,0.0,0.0,0.0,0.0
20190121:0210,0.0,0.0,0.0,0.0
20190121:0310,0.0,0.0,0.0,0.0
20190121:0410,0.0,0.0,0.0,0.0
20190121:0510,0.0,0.0,0.0,0.0
20190121:0610,0.0,0.0,0.0,0.0
20190121:0710,11.94,11.02,10.93,11.2275
20190121:0810,89.61,86.42,79.28,85.4325
20190121:0910,80.6,74.38,76.93,76.57249999999999
20190121:1010,261.98,302.84,226.28,273.485
20190121:1110,246.01,262.11,232.44,250.66750000000002
20190121:1210,115.43,106.52,110.17,109.66
20190121:1310,161.56,159.86,160.43,160.4275
20190121:1410,93.1,87.74,90.59,89.79249999999999
20190121:1510,47.42,53.2,58.64,53.115
20190121:1610,0.0,0.0,0.0,0.0
20190121:1710,0.0,0.0,0.0,0.0
