time,Residential,Industrial,Commercial
20190113:2210,1.4185,4.3087,9.3913
20190113:2310,1.2957,4.2154,8.5783
20190114:0010,1.1576,4.2501,7.6639
20190114:0110,1.0972,4.3883,7.2644
20190114:0210,1.0737,4.4399,7.1085
20190114:0310,1.0815,4.542,7.1604
20190114:0410,1.0999,4.7892,7.282
20190114:0510,1.1894,5.038,7.8745
20190114:0610,1.3859,5.7393,9.1755
20190114:0710,1.7429,7.4689,11.5388
20190114:0810,2.0989,10.2458,13.8964
20190114:0910,2.4837,12.1974,16.444
20190114:1010,2.694,12.5249,17.8357
20190114:1110,2.772,12.4049,18.3522
20190114:1210,2.7664,11.7169,18.3155
20190114:1310,2.68,11.1183,17.7435
20190114:1410,2.6595,11.6602,17.6079
20190114:1510,2.5504,11.7365,16.8854
20190114:1610,2.4576,11.153,16.2706
20190114:1710,2.4402,9.5458,16.1556
20190114:1810,2.3804,8.1428,15.76
20190114:1910,2.1802,7.0061,14.4342
20190114:2010,1.8945,5.902,12.5431
20190114:2110,1.6569,5.122,10.9699
20190114:2210,1.4812,4.7228,9.8068
20190114:2310,1.3083,4.504,8.6616
20190115:0010,1.1498,4.4403,7.6123
20190115:0110,1.079,4.386,7.1439
20190115:0210,1.0554,4.4729,6.9877
20190115:0310,1.0593,4.6026,7.0133
20190115:0410,1.0765,4.8587,7.127
20190115:0510,1.1527,5.1659,7.6315
20190115:0610,1.3657,6.0918,9.0416
20190115:0710,1.7155,7.4876,11.3577
20190115:0810,2.0795,10.4324,13.7677
20190115:0910,2.4649,12.2266,16.3195
20190115:1010,2.7017,12.452,17.8867
20190115:1110,2.7927,12.4693,18.4897
20190115:1210,2.787,11.7246,18.4515
20190115:1310,2.7017,10.9765,17.8871
20190115:1410,2.6768,11.6392,17.722
20190115:1510,2.5288,11.5054,16.7421
20190115:1610,2.4437,11.0632,16.1786
20190115:1710,2.4428,9.5355,16.1726
20190115:1810,2.4258,8.2562,16.0602
20190115:1910,2.234,7.1152,14.7905
20190115:2010,1.9548,5.8375,12.9419
20190115:2110,1.7106,5.1037,11.3254
20190115:2210,1.5386,4.6117,10.1868
20190115:2310,1.362,4.4558,9.0174
20190116:0010,1.1815,4.4626,7.8226
