time,P,G(i),H_sun,T2m,WS10m,Int
20190111:0810,245.4,302.96,13.36,-3.44,1.66,0.0
20190111:0910,284.1,332.34,20.05,-3.05,1.79,0.0
20190111:1010,339.49,397.18,24.48,-0.11,1.93,0.0
20190111:1110,249.47,294.79,26.15,0.95,2.21,0.0
20190111:1210,155.36,189.93,24.83,1.0,1.86,0.0
20190111:1310,133.5,166.72,20.71,0.96,1.79,0.0
20190111:1410,36.98,56.72,14.26,0.66,1.66,0.0
20190111:1510,23.79,40.62,6.04,0.01,1.45,0.0
20190111:1610,0.0,0.0,0.0,-1.96,1.38,0.0
20190111:1710,0.0,0.0,0.0,-2.6,1.31,0.0
20190111:1810,0.0,0.0,0.0,-1.66,1.24,0.0
20190111:1910,0.0,0.0,0.0,-1.43,1.31,0.0
20190111:2010,0.0,0.0,0.0,-1.77,1.31,0.0
20190111:2110,0.0,0.0,0.0,-2.04,1.17,0.0
20190111:2210,0.0,0.0,0.0,-2.28,1.1,0.0
20190111:2310,0.0,0.0,0.0,-2.53,1.03,0.0
20190112:0010,0.0,0.0,0.0,-2.69,1.1,0.0
20190112:0110,0.0,0.0,0.0,-3.22,1.1,0.0
20190112:0210,0.0,0.0,0.0,-3.37,1.17,0.0
20190112:0310,0.0,0.0,0.0,-3.34,1.24,0.0
20190112:0410,0.0,0.0,0.0,-3.28,1.24,0.0
20190112:0510,0.0,0.0,0.0,-3.21,1.24,0.0
20190112:0610,0.0,0.0,0.0,-3.17,1.31,0.0
20190112:0710,72.51,115.75,5.03,-3.37,1.17,0.0
20190112:0810,223.36,276.68,13.45,-2.24,1.24,0.0
20190112:0910,334.52,396.47,20.16,-1.07,1.31,0.0
20190112:1010,386.05,450.92,24.62,-1.6,1.38,0.0
20190112:1110,371.64,441.22,26.3,1.36,1.38,0.0
20190112:1210,320.16,389.02,25.0,1.61,1.38,0.0
20190112:1310,217.09,284.86,20.89,1.75,1.38,0.0
20190112:1410,89.39,146.71,14.44,1.59,1.31,0.0
20190112:1510,14.47,28.73,6.22,0.8,0.97,0.0
